sequence,Task1,Task2,Task3,Task4,Task5
"(1, 0, 2, 4, 3)",66.7612293144208,93.82957884427033,68.62326574172893,99.74823766364553,96.36913767019666
"(1, 0, 3, 2, 4)",48.274231678487,96.47404505386875,88.47385272145144,95.72004028197382,99.19314170448816
"(1, 0, 3, 4, 2)",23.64066193853428,97.79627815866797,100.0,81.97381671701913,69.1880988401412
"(1, 0, 4, 2, 3)",68.36879432624113,91.42997061704212,96.74493062966916,99.79859013091641,83.56026222894604
"(1, 0, 4, 3, 2)",20.99290780141844,91.0871694417238,99.89327641408751,87.05941591137966,50.22692889561271
"(1, 2, 0, 3, 4)",54.04255319148936,93.63369245837414,42.049092849519745,98.6404833836858,98.99142713061019
"(1, 2, 0, 4, 3)",88.4160756501182,93.53574926542605,55.33617929562433,99.69788519637463,96.46999495713565
"(1, 2, 3, 0, 4)",86.95035460992908,94.76003917727718,50.907150480256135,97.83484390735146,99.24357034795764
"(1, 2, 3, 4, 0)",99.95271867612293,89.17727717923604,45.99786552828175,96.22356495468279,94.70499243570347
"(1, 2, 4, 0, 3)",99.10165484633569,91.96865817825662,57.36392742796158,99.79859013091641,95.61270801815431
"(1, 2, 4, 3, 0)",99.90543735224587,83.79040156709108,68.40981856990395,99.04330312185297,80.88754412506303
"(1, 3, 0, 2, 4)",48.08510638297872,95.78844270323212,80.25613660618997,95.66968781470293,99.29399899142713
"(1, 3, 0, 4, 2)",10.307328605200945,93.29089128305583,99.94663820704376,80.71500503524673,69.03681290973273
"(1, 3, 2, 0, 4)",86.14657210401892,95.4456415279138,68.24973319103522,97.02920443101712,99.24357034795764
"(1, 3, 2, 4, 0)",99.95271867612293,90.74436826640549,71.50480256136606,95.21651560926486,95.20927887039839
"(1, 3, 4, 0, 2)",90.87470449172577,82.1743388834476,99.89327641408751,52.81973816717019,41.654059505799296
"(1, 3, 4, 2, 0)",99.95271867612293,89.5690499510284,96.26467449306297,81.97381671701913,56.83308119011598
"(1, 4, 0, 2, 3)",78.25059101654847,90.94025465230166,95.14407684098185,99.9496475327291,81.94654563792234
"(1, 4, 0, 3, 2)",30.354609929078013,86.23898139079334,99.94663820704376,89.1742195367573,57.488653555219365
"(1, 4, 2, 0, 3)",97.82505910165484,90.35259549461313,84.79188900747064,99.74823766364553,85.77912254160363
"(1, 4, 2, 3, 0)",99.90543735224587,86.82664054848188,84.36499466382071,98.23766364551864,75.94553706505295
"(1, 4, 3, 0, 2)",85.67375886524823,75.07345739471107,99.89327641408751,59.06344410876133,36.05648008068583
"(1, 4, 3, 2, 0)",99.95271867612293,83.10479921645445,94.55709711846318,88.16717019133938,53.15179021684317
