sequence,Task1,Task2,Task3,Task4,Task5
"(3, 2, 4, 0, 1)",99.38534278959811,99.65719882468169,98.87940234791888,97.98590130916415,98.18456883509833
"(3, 2, 4, 1, 0)",99.95271867612293,97.89422135161607,97.22518676627534,99.04330312185297,98.03328290468987
"(3, 4, 0, 1, 2)",99.43262411347517,99.4613124387855,99.89327641408751,97.23061430010071,95.1084215834594
"(3, 4, 0, 2, 1)",99.00709219858156,99.70617042115573,99.57310565635005,98.08660624370594,98.03328290468987
"(3, 4, 1, 0, 2)",99.43262411347517,99.55925563173359,99.83991462113127,95.8710976837865,96.16742309631871
"(3, 4, 1, 2, 0)",99.95271867612293,98.09010773751224,98.3991462113127,98.28801611278952,97.22642460917801
"(3, 4, 2, 0, 1)",99.47990543735224,99.0205680705191,98.66595517609392,96.12286002014099,91.62884518406455
"(3, 4, 2, 1, 0)",99.95271867612293,99.11851126346718,98.13233724653148,98.03625377643505,97.68028240040343
"(4, 0, 1, 2, 3)",98.91252955082743,98.38393731635651,97.06510138740661,99.74823766364553,98.08371154815936
"(4, 0, 1, 3, 2)",99.00709219858156,99.21645445641528,99.78655282817503,95.9718026183283,96.01613716591024
"(4, 0, 2, 1, 3)",98.2033096926714,97.55142017629775,97.49199573105656,99.9496475327291,97.57942511346445
"(4, 0, 2, 3, 1)",98.95981087470449,99.4613124387855,98.61259338313768,96.87814702920443,98.08371154815936
"(4, 0, 3, 1, 2)",99.14893617021276,99.51028403525955,99.94663820704376,96.87814702920443,95.7135653050933
"(4, 0, 3, 2, 1)",98.29787234042553,99.80411361410383,99.62646744930629,97.02920443101712,96.7725668179526
"(4, 1, 0, 2, 3)",98.2033096926714,98.18805093046034,97.59871931696905,99.79859013091641,98.13414019162884
"(4, 1, 0, 3, 2)",98.67612293144208,99.65719882468169,99.94663820704376,96.07250755287009,96.01613716591024
"(4, 1, 2, 0, 3)",99.10165484633569,97.5024485798237,96.37139807897546,99.79859013091641,98.63842662632375
"(4, 1, 2, 3, 0)",99.95271867612293,98.72673849167482,97.86552828175027,99.49647532729104,97.93242561775088
"(4, 1, 3, 0, 2)",99.14893617021276,99.51028403525955,99.83991462113127,96.82779456193353,95.1084215834594
"(4, 1, 3, 2, 0)",99.95271867612293,98.97159647404506,99.1462113127001,98.6404833836858,97.73071104387292
"(4, 2, 0, 1, 3)",99.05437352245863,98.4818805093046,97.43863393810032,99.79859013091641,98.13414019162884
"(4, 2, 0, 3, 1)",98.39243498817967,99.55925563173359,99.19957310565636,97.73413897280967,98.03328290468987
"(4, 2, 1, 0, 3)",98.0614657210402,98.09010773751224,97.43863393810032,99.79859013091641,98.48714069591529
"(4, 2, 1, 3, 0)",99.95271867612293,98.77571008814887,96.95837780149412,99.29506545820745,98.43671205244578
"(4, 2, 3, 0, 1)",99.52718676122932,99.9020568070519,98.66595517609392,98.28801611278952,98.08371154815936
"(4, 2, 3, 1, 0)",99.90543735224587,98.53085210577865,97.38527214514407,99.29506545820745,98.13414019162884
"(4, 3, 0, 1, 2)",99.14893617021276,99.51028403525955,99.89327641408751,95.8710976837865,95.31013615733737
"(4, 3, 0, 2, 1)",99.52718676122932,99.60822722820764,99.57310565635005,97.53272910372608,97.57942511346445
"(4, 3, 1, 0, 2)",99.66903073286052,99.55925563173359,99.94663820704376,95.16616314199396,96.36913767019666
"(4, 3, 1, 2, 0)",99.95271867612293,99.26542605288932,98.025613660619,98.99295065458207,96.92385274836107
"(4, 3, 2, 0, 1)",99.10165484633569,99.4613124387855,98.87940234791888,97.73413897280967,97.98285426122037
"(4, 3, 2, 1, 0)",99.95271867612293,98.87365328109696,98.23906083244397,98.6404833836858,97.88199697428139
